word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
anhembi,14,4,28.57142857142857,10,71.42857142857143
anistiado,12,2,16.666666666666664,10,83.33333333333334
aracatuba,12,2,16.666666666666664,10,83.33333333333334
assaltant,10,0,0,10,100
autenticar,10,0,0,10,100
bombastico,11,1,9.090909090909092,10,90.90909091
bombom,10,0,0,10,100
buzio,11,1,9.090909090909092,10,90.90909091
camuflar,11,1,9.090909090909092,10,90.90909091
ceda,10,0,0,10,100
charg,10,0,0,10,100
chinar,10,0,0,10,100
chumbar,10,0,0,10,100
coagulacao,13,2,15.384615384615385,10,76.92307692307693
compositor,13,3,23.076923076923077,10,76.92307692307693
corja,10,0,0,10,100
crm,12,2,16.666666666666664,10,83.33333333333334
cupom,11,1,9.090909090909092,10,90.90909091
danificar,14,4,28.57142857142857,10,71.42857142857143
desarmar,10,0,0,10,100
desconsiderar,14,4,28.57142857142857,10,71.42857142857143
desidratacao,13,3,23.076923076923077,10,76.92307692307693
embriagar,11,1,9.090909090909092,10,90.90909091
feminista,12,2,16.666666666666664,10,83.33333333333334
fraudemia,11,0,0,10,90.90909091
frito,10,0,0,10,100
ganhador,14,4,28.57142857142857,10,71.42857142857143
gaviao,11,1,9.090909090909092,10,90.90909091
gremio,14,4,28.57142857142857,10,71.42857142857143
historiador,14,4,28.57142857142857,10,71.42857142857143
honjo,10,0,0,10,100
ignorant,12,2,16.666666666666664,10,83.33333333333334
iluminar,13,3,23.076923076923077,10,76.92307692307693
jinp,13,3,23.076923076923077,10,76.92307692307693
jone,12,2,16.666666666666664,10,83.33333333333334
luminar,14,1,7.142857142857142,10,71.42857142857143
metalico,10,0,0,10,100
meteorologia,12,2,16.666666666666664,10,83.33333333333334
mijar,10,0,0,10,100
miliciano,14,4,28.57142857142857,10,71.42857142857143
misterioso,11,1,9.090909090909092,10,90.90909091
naoparaben,10,0,0,10,100
nefasto,12,2,16.666666666666664,10,83.33333333333334
netcom,10,0,0,10,100
odontologico,13,3,23.076923076923077,10,76.92307692307693
orquestrar,11,1,9.090909090909092,10,90.90909091
penetrar,12,2,16.666666666666664,10,83.33333333333334
pineal,11,1,9.090909090909092,10,90.90909091
poetar,11,1,9.090909090909092,10,90.90909091
