word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
aguardava,1,1,100,0,0
aguda,4,4,100,0,0
aguero,1,1,100,0,0
aguia,17,14,82.35294117647058,1,5.882352941
aguiar,15,14,93.33333333333333,1,6.666666666666667
aguilar,1,1,100,0,0
aguilera,1,1,100,0,0
ahahahahahahaha,1,1,100,0,0
ahf,1,1,100,0,0
ahpaceg,1,1,100,0,0
aiatola,1,1,100,0,0
aidar,1,1,100,0,0
aildo,1,1,100,0,0
ailton,7,6,85.71428571428571,1,14.285714285714285
aimar,1,1,100,0,0
aindacontinuaremo,1,1,100,0,0
aipim,1,1,100,0,0
airlin,26,20,76.92307692307693,6,23.076923076923077
airport,2,2,100,0,0
aissami,2,2,100,0,0
aiuruoca,1,1,100,0,0
ajd,3,3,100,0,0
ajeitala,1,1,100,0,0
ajit,1,1,100,0,0
ajudado,1,1,100,0,0
ajudam,1,1,100,0,0
ajudancia,1,1,100,0,0
ajuf,1,1,100,0,0
ajuizar,8,7,87.5,1,12.5
ajustada,1,1,100,0,0
ajustado,1,1,100,0,0
ajustalo,1,1,100,0,0
ajustando,1,1,100,0,0
akatu,2,2,100,0,0
akito,1,1,100,0,0
akopov,1,1,100,0,0
akyzo,1,1,100,0,0
alagoana,2,2,100,0,0
alagoinha,1,1,100,0,0
alaid,2,2,100,0,0
alami,64,52,81.25,11,17.1875
alani,1,1,100,0,0
alarido,2,2,100,0,0
alarmada,1,1,100,0,0
alarmant,18,15,83.33333333333334,3,16.666666666666664
alasca,2,2,100,0,0
alastramento,7,5,71.42857142857143,2,28.57142857142857
alavancaram,1,1,100,0,0
albania,2,2,100,0,0
albergu,1,1,100,0,0
alberta,3,3,100,0,0
albirex,1,1,100,0,0
album,7,7,100,0,0
albuquerqu,11,10,90.90909091,1,9.090909090909092
alcancando,1,1,100,0,0
alcantara,4,3,75,1,25
alcid,3,3,100,0,0
alckmin,25,19,76,6,24
alcolumbr,107,91,85.04672897196261,16,14.953271028037381
alcoolica,3,3,100,0,0
alcott,1,1,100,0,0
alcunhar,1,1,100,0,0
aldacir,1,1,100,0,0
aldana,1,1,100,0,0
aldeia,20,16,80,4,20
aldeni,2,2,100,0,0
aldighieri,2,2,100,0,0
aldrin,3,3,100,0,0
alegaco,2,2,100,0,0
alegando,2,2,100,0,0
alegas,4,3,75,1,25
aleijar,1,1,100,0,0
aleitamento,4,4,100,0,0
alejandro,1,1,100,0,0
aleksand,1,1,100,0,0
alergeno,1,1,100,0,0
alergia,27,19,70.37037037037037,8,29.629629629629626
alergica,3,3,100,0,0
alergico,22,17,77.27272727272727,1,4.545454545454546
alergista,2,2,100,0,0
alerj,50,42,84,8,16
alertando,3,3,100,0,0
alertaram,2,2,100,0,0
alesp,11,9,81.81818181818183,2,18.181818181818183
alessandra,3,3,100,0,0
alexandria,1,1,100,0,0
alfabetizacao,2,2,100,0,0
alfabetizar,3,3,100,0,0
alfafa,2,2,100,0,0
alfandegario,2,2,100,0,0
alfer,3,3,100,0,0
algazarrar,1,1,100,0,0
algomerarem,1,1,100,0,0
algoritmico,1,1,100,0,0
algozar,1,1,100,0,0
algun,30,30,100,0,0
alhear,6,5,83.33333333333334,1,16.666666666666664
aliansc,1,1,100,0,0
aliarams,1,1,100,0,0
alicea,2,2,100,0,0
alicercada,1,1,100,0,0
aliem,1,1,100,0,0
alienalo,1,1,100,0,0
alimentandos,1,1,100,0,0
alimentars,1,1,100,0,0
alimenticio,2,2,100,0,0
alinhada,1,1,100,0,0
alinhado,3,3,100,0,0
alinhavar,1,1,100,0,0
aliquota,27,23,85.18518518518519,4,14.814814814814813
alisamento,1,1,100,0,0
alisson,1,1,100,0,0
alistamento,2,2,100,0,0
alitalia,3,3,100,0,0
aliviada,1,1,100,0,0
alivialo,1,1,100,0,0
aliviar,36,31,86.11111111111111,5,13.88888888888889
alivio,18,16,88.88888888888889,2,11.11111111111111
aljadaan,2,2,100,0,0
alkmaar,1,1,100,0,0
allain,1,1,100,0,0
allardyc,1,1,100,0,0
allegra,3,3,100,0,0
allend,3,3,100,0,0
allinchallengecom,2,2,100,0,0
almapbbdo,1,1,100,0,0
almarjani,6,6,100,0,0
almeida,43,31,72.09302325581395,12,27.906976744186046
almejada,1,1,100,0,0
almejar,4,3,75,1,25
alocacao,3,3,100,0,0
alocada,3,3,100,0,0
alok,1,1,100,0,0
alomia,2,2,100,0,0
alongamento,1,1,100,0,0
alongar,4,3,75,1,25
alonso,1,1,100,0,0
aloprado,2,2,100,0,0
alpha,8,6,75,1,12.5
alphabet,6,6,100,0,0
alsadd,1,1,100,0,0
altacostura,1,1,100,0,0
altair,1,1,100,0,0
altay,1,1,100,0,0
alteracao,104,75,72.11538461538461,29,27.884615384615387
alteraco,2,2,100,0,0
alterada,1,1,100,0,0
altern,87,63,72.41379310344827,8,9.195402298850574
alternancia,2,2,100,0,0
alternativament,1,1,100,0,0
alternativo,71,63,88.73239436619718,8,11.267605633802818
altissima,1,1,100,0,0
altissimo,1,1,100,0,0
altocomissario,1,1,100,0,0
altofalant,4,4,100,0,0
altoforno,3,3,100,0,0
altomar,2,2,100,0,0
alugado,1,1,100,0,0
aluguei,1,1,100,0,0
alunar,28,20,71.42857142857143,8,28.57142857142857
alusivo,1,1,100,0,0
alvanei,1,1,100,0,0
alvara,4,4,100,0,0
alvarezmars,1,1,100,0,0
alvaro,26,19,73.07692307692307,7,26.923076923076923
alvim,4,4,100,0,0
alvinegra,1,1,100,0,0
alvissareiro,2,2,100,0,0
alviverd,2,2,100,0,0
alvorada,5,5,100,0,0
alvorar,61,55,90.16393443,6,9.836065573770492
alvorec,1,1,100,0,0
alwasl,1,1,100,0,0
alway,2,2,100,0,0
alyssa,2,2,100,0,0
alzano,1,1,100,0,0
amaciant,1,1,100,0,0
amadurecimento,1,1,100,0,0
amaerj,1,1,100,0,0
amalo,1,1,100,0,0
amalucar,1,1,100,0,0
amamentacao,6,6,100,0,0
amamentar,5,4,80,1,20
amana,1,1,100,0,0
amapaens,2,2,100,0,0
amarrada,1,1,100,0,0
amastha,1,1,100,0,0
amazonastrecho,1,1,100,0,0
amazoncom,2,2,100,0,0
amazonens,20,14,70,6,30
amazonia1,2,2,100,0,0
amazonico,3,3,100,0,0
ambicioso,4,3,75,1,25
ambiencia,1,1,100,0,0
ambientar,296,218,73.64864864864865,78,26.351351351351347
ambito,82,66,80.48780487804879,16,19.51219512195122
ambosio,1,1,100,0,0
ambrosio,2,2,100,0,0
ambulanciasem,1,1,100,0,0
amcham,1,1,100,0,0
ameacador,1,1,100,0,0
ameacala,1,1,100,0,0
ameacamo,1,1,100,0,0
ameacavam,1,1,100,0,0
amealhar,3,3,100,0,0
ameixa,3,3,100,0,0
amenizar,18,13,72.22222222222221,5,27.77777777777778
ameno,5,4,80,1,20
americasfoodfund,2,2,100,0,0
americold,1,1,100,0,0
amfar,1,1,100,0,0
amicu,1,1,100,0,0
amilcar,1,1,100,0,0
amistosament,1,1,100,0,0
amistoso,4,3,75,1,25
amlogo,1,1,100,0,0
amoedo,14,10,71.42857142857143,1,7.142857142857142
amonia,1,1,100,0,0
amorim,6,5,83.33333333333334,1,16.666666666666664
amorin,1,1,100,0,0
amortizacao,3,3,100,0,0
amparada,1,1,100,0,0
amparo,1,1,100,0,0
amphan,2,2,100,0,0
ampliacao,51,43,84.31372549019608,8,15.686274509803921
ampliada,3,3,100,0,0
ampliado,2,2,100,0,0
ampliando,1,1,100,0,0
ampliaram,1,1,100,0,0
amplias,1,1,100,0,0
amplificada,1,1,100,0,0
ampliou,3,3,100,0,0
amplitud,6,5,83.33333333333334,1,16.666666666666664
amplo,91,74,81.31868131868131,17,18.681318681318682
amsterda,3,3,100,0,0
amtb,2,2,100,0,0
anacapri,1,1,100,0,0
anacleto,1,1,100,0,0
anafilatica,4,4,100,0,0
anagliptografia,1,1,100,0,0
anahp,4,4,100,0,0
anajur,4,4,100,0,0
analisada,2,2,100,0,0
analisado,1,1,100,0,0
analisala,1,1,100,0,0
analisam,2,2,100,0,0
analisandoeduardo,1,1,100,0,0
analisara,1,1,100,0,0
analitico,2,2,100,0,0
analogo,1,1,100,0,0
analyt,2,2,100,0,0
anamnes,3,3,100,0,0
anapoli,10,8,80,1,10
anarquista,2,2,100,0,0
anbc,1,1,100,0,0
ancestr,5,5,100,0,0
anchietaimigrant,2,2,100,0,0
ancona,1,1,100,0,0
ancoragem,1,1,100,0,0
ancorar,7,7,100,0,0
andesitica,1,1,100,0,0
andesito,2,2,100,0,0
andif,1,1,100,0,0
andino,2,2,100,0,0
andorrano,1,1,100,0,0
andrea,25,21,84,4,16
andreia,3,3,100,0,0
andreotti,1,1,100,0,0
andressa,9,9,100,0,0
andreta,1,1,100,0,0
andrew,35,29,82.85714285714286,6,17.142857142857142
andreza,1,1,100,0,0
andriel,2,2,100,0,0
andrighi,1,1,100,0,0
androgeno,1,1,100,0,0
andrologia,2,2,100,0,0
aneel,20,19,95,1,5
anelideo,1,1,100,0,0
anemia,6,5,83.33333333333334,1,16.666666666666664
anencefalia,1,1,100,0,0
anestesico,3,3,100,0,0
anestesista,5,5,100,0,0
anfavea,1,1,100,0,0
anfield,1,1,100,0,0
anfitriao,4,3,75,1,25
angariar,7,5,71.42857142857143,2,28.57142857142857
angelo,12,9,75,3,25
angeluso,1,1,100,0,0
angiologia,1,1,100,0,0
anglosueca,2,2,100,0,0
angotti,2,2,100,0,0
angustiado,1,1,100,0,0
angustiant,4,4,100,0,0
angustiar,1,1,100,0,0
anhanguera,2,2,100,0,0
anhlinh,2,2,100,0,0
animada,1,1,100,0,0
animai,11,10,90.90909091,1,9.090909090909092
animosidad,1,1,100,0,0
animous,1,1,100,0,0
aniquilar,3,3,100,0,0
anisio,4,4,100,0,0
anittadentrodacasinha,2,2,100,0,0
anivaldo,4,4,100,0,0
aniversariant,1,1,100,0,0
anmp,3,3,100,0,0
annegret,1,1,100,0,0
annual,1,1,100,0,0
anocomo,1,1,100,0,0
anoha,1,1,100,0,0
anomalo,1,1,100,0,0
anonimato,6,6,100,0,0
anonimosbarreto,1,1,100,0,0
anonym,6,5,83.33333333333334,1,16.666666666666664
anoou,1,1,100,0,0
anophel,1,1,100,0,0
anorexia,3,3,100,0,0
anosr,66,61,92.42424242424242,2,3.0303030303030303
anoswassef,1,1,100,0,0
anotacao,3,3,100,0,0
anotar,8,7,87.5,1,12.5
anoth,2,2,100,0,0
anotous,1,1,100,0,0
anpd,3,3,100,0,0
ansari,1,1,100,0,0
ansiedad,27,25,92.59259259,2,7.4074074074074066
ansiosament,2,2,100,0,0
ansioso,18,13,72.22222222222221,5,27.77777777777778
antagonismo,1,1,100,0,0
antagonista,7,7,100,0,0
antartica,3,3,100,0,0
antartida,6,5,83.33333333333334,1,16.666666666666664
antecedent,4,4,100,0,0
antecessor,13,10,76.92307692307693,3,23.076923076923077
antecipacao,23,22,95.65217391304348,1,4.3478260869565215
antecipadament,5,4,80,1,20
antecipandos,1,1,100,0,0
antecipar,98,80,81.63265306122449,17,17.346938775510203
antemao,2,2,100,0,0
antenado,1,1,100,0,0
anteontem,47,46,97.87234042553192,1,2.127659574468085
anteriorment,58,48,82.75862068965517,10,17.24137931034483
antessala,3,3,100,0,0
antevespera,1,1,100,0,0
antiara,1,1,100,0,0
antichancel,1,1,100,0,0
anticompetitiva,1,1,100,0,0
anticorpo,135,100,74.07407407407408,35,25.925925925925924
anticorrupcao,11,10,90.90909091,1,9.090909090909092
anticovid19,1,1,100,0,0
anticovido,1,1,100,0,0
anticrim,13,10,76.92307692307693,3,23.076923076923077
antidamar,1,1,100,0,0
antidemocratica,1,1,100,0,0
antidemocratico,20,19,95,1,5
antiembacamento,1,1,100,0,0
antietico,1,1,100,0,0
antifascismo,4,4,100,0,0
antifumo,1,1,100,0,0
antiheroi,1,1,100,0,0
antihipertensivo,1,1,100,0,0
antiimigracao,1,1,100,0,0
antimalarico,1,1,100,0,0
antimonopolio,2,2,100,0,0
antipatia,2,2,100,0,0
antipedofilia,1,1,100,0,0
antiprotozoario,1,1,100,0,0
antipt,2,2,100,0,0
antirracista,6,5,83.33333333333334,1,16.666666666666664
antirretrovir,14,11,78.57142857142857,1,7.142857142857142
antirretrovirai,12,11,91.66666666666666,1,8.333333333333332
antissemita,1,1,100,0,0
antisseptico,2,2,100,0,0
antitabagista,1,1,100,0,0
antitau,1,1,100,0,0
antitrust,4,4,100,0,0
antiviru,10,10,100,0,0
antoin,2,2,100,0,0
antologia,1,1,100,0,0
antologica,2,2,100,0,0
antologico,1,1,100,0,0
